season,lg,player,player_id,age,team,pos,g,gs,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,e_fg_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game,all_star
2024,NBA,Tyler Herro,herroty01,24.0,MIA,SG,42,40.0,33.5,7.7,17.5,0.441,3.1,7.9,0.396,4.6,9.6,0.478,0.531,2.3,2.6,0.856,0.5,4.8,5.3,4.5,0.7,0.1,2.2,1.5,20.8,0
2024,NBA,Tyrese Haliburton,halibty01,23.0,IND,PG,69,68.0,32.2,7.2,15.2,0.477,2.8,7.8,0.364,4.4,7.4,0.595,0.57,2.8,3.3,0.855,0.5,3.4,3.9,10.9,1.2,0.7,2.3,1.1,20.1,1
2024,NBA,Tyrese Maxey,maxeyty01,23.0,PHI,PG,70,70.0,37.5,9.1,20.3,0.45,3.0,8.1,0.373,6.1,12.1,0.501,0.524,4.7,5.4,0.868,0.5,3.2,3.7,6.2,1.0,0.5,1.7,2.2,25.9,1
2024,NBA,Tyus Jones,jonesty01,27.0,WAS,PG,66,66.0,29.3,4.9,10.1,0.489,1.6,3.9,0.414,3.3,6.2,0.537,0.569,0.5,0.6,0.8,0.3,2.4,2.7,7.3,1.1,0.3,1.0,0.7,12.0,0
2024,NBA,Vasilije Micić,micicva01,30.0,2TM,PG,60,21.0,19.6,2.7,6.2,0.43,0.7,2.6,0.279,1.9,3.6,0.537,0.488,1.0,1.3,0.813,0.2,1.2,1.5,4.4,0.5,0.1,1.7,1.1,7.0,0
2024,NBA,Victor Wembanyama,wembavi01,20.0,SAS,C,71,71.0,29.7,7.8,16.7,0.465,1.8,5.5,0.325,6.0,11.2,0.534,0.519,4.1,5.2,0.796,2.3,8.4,10.6,3.9,1.2,3.6,3.7,2.2,21.4,0
2024,NBA,Vince Williams Jr.,willivi01,23.0,MEM,SG,52,33.0,27.6,3.3,7.3,0.446,1.5,4.0,0.378,1.7,3.3,0.529,0.55,2.0,2.5,0.8,1.1,4.4,5.6,3.4,0.9,0.7,1.8,2.6,10.0,0
2024,NBA,Vit Krejci,krejcvi01,23.0,ATL,PG,22,14.0,24.6,2.3,4.7,0.49,1.3,3.1,0.412,1.0,1.6,0.639,0.625,0.2,0.3,0.833,0.5,1.9,2.4,2.3,0.6,0.3,0.9,2.2,6.1,0
2024,NBA,Walker Kessler,kesslwa01,22.0,UTA,C,64,22.0,23.3,3.6,5.5,0.654,0.1,0.3,0.211,3.5,5.2,0.68,0.66,0.9,1.5,0.602,2.6,4.9,7.5,0.9,0.5,2.4,1.0,2.1,8.1,0
2024,NBA,Wendell Carter Jr.,cartewe01,24.0,ORL,C,55,48.0,25.6,4.1,7.7,0.525,1.2,3.1,0.374,2.9,4.6,0.626,0.6,1.7,2.4,0.694,2.0,4.9,6.9,1.7,0.6,0.5,1.2,2.2,11.0,0
2024,NBA,Wendell Moore Jr.,moorewe01,22.0,MIN,SG,25,0.0,3.0,0.4,0.7,0.5,0.0,0.2,0.0,0.4,0.5,0.75,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.2,0.0,0.2,0.2,0.7,0
2024,NBA,Wesley Matthews,matthwe02,37.0,ATL,SG,36,3.0,11.5,0.9,2.7,0.351,0.7,1.9,0.348,0.3,0.8,0.357,0.474,0.5,0.7,0.75,0.3,1.2,1.5,0.6,0.4,0.3,0.2,1.2,3.1,0
2024,NBA,Xavier Tillman Sr.,tillmxa01,25.0,2TM,PF,54,15.0,18.0,2.2,5.2,0.434,0.4,1.5,0.247,1.9,3.7,0.51,0.47,0.4,0.9,0.44,1.3,2.6,3.9,1.4,0.9,0.8,0.6,1.4,5.3,0
2024,NBA,Yuta Watanabe,watanyu01,29.0,2TM,SF,34,0.0,13.6,1.2,3.4,0.353,0.7,2.5,0.294,0.5,0.9,0.516,0.461,0.3,0.5,0.588,0.3,1.3,1.6,0.4,0.4,0.2,0.6,1.1,3.4,0
2024,NBA,Zach Collins,colliza01,26.0,SAS,C,69,29.0,22.1,4.3,8.9,0.484,0.8,2.6,0.32,3.5,6.3,0.552,0.531,1.8,2.3,0.753,1.7,3.7,5.4,2.8,0.5,0.8,1.9,3.0,11.2,0
2024,NBA,Zach LaVine,lavinza01,28.0,CHI,SG,25,23.0,34.9,6.8,15.0,0.452,2.4,6.8,0.349,4.4,8.3,0.536,0.531,3.5,4.1,0.854,0.3,4.8,5.2,3.9,0.8,0.3,2.1,2.3,19.5,0
2024,NBA,Zeke Nnaji,nnajize01,23.0,DEN,PF,58,0.0,9.9,1.2,2.6,0.463,0.1,0.4,0.261,1.1,2.2,0.5,0.483,0.7,1.1,0.677,1.1,1.1,2.2,0.6,0.3,0.7,0.5,1.4,3.2,0
2024,NBA,Ziaire Williams,willizi02,22.0,MEM,SF,51,15.0,20.4,2.9,7.4,0.397,1.1,3.7,0.307,1.8,3.7,0.487,0.474,1.2,1.5,0.827,0.7,2.8,3.5,1.5,0.7,0.2,1.3,1.7,8.2,0
2024,NBA,Zion Williamson,willizi01,23.0,NOP,PF,70,70.0,31.5,8.9,15.6,0.57,0.1,0.3,0.333,8.8,15.4,0.574,0.573,5.0,7.1,0.702,1.7,4.1,5.8,5.0,1.1,0.7,2.8,2.3,22.9,0
